Produto,Preço,Pgto.,Nº Parcelas,Data,Cliente,E-mail,DDD,Telefone
Produto B,R$ 1200,Boleto Bancário,9,25/09/2018,Tércio Silva,térciosilva@hotmail.com,97,910364899
Produto C,R$ 500,Boleto Bancário,3,10/12/2018,Danubia Pereira,danubiapereira@outlook.com,88,942481614
Produto C,R$ 750,Cartão de Crédito,5,29/12/2018,Tamires Souza,tamiressouza@gmail.com,88,910977822
Produto C,R$ 1000,Pix,7,03/05/2018,Danubia Santos,danubiasantos@outlook.com,65,972923801
Produto C,R$ 500,Cartão de Crédito,9,03/01/2018,Danubia Almeida,danubiaalmeida@hotmail.com,91,975629460
Produto A,R$ 1000,Cartão de Crédito,12,23/11/2018,Elaine Almeida,elainealmeida@yahoo.com,24,975692955
Produto C,R$ 1000,Cartão de Crédito,3,21/07/2018,Bianca Pereira,biancapereira@outlook.com,32,922851888
Produto B,R$ 750,Pix,6,16/05/2018,Paula Costa,paulacosta@outlook.com,73,918759848
Produto B,R$ 750,Boleto Bancário,5,07/11/2018,Rafael Costa,rafaelcosta@outlook.com,50,925529736
Produto A,R$ 500,Boleto Bancário,1,14/01/2018,Tonny Santos,tonnysantos@outlook.com,46,955045741
Produto B,R$ 500,Boleto Bancário,11,24/06/2018,Presley Costa,presleycosta@outlook.com,96,932966713
Produto C,R$ 500,Boleto Bancário,11,17/04/2018,Tamires Oliveira,tamiresoliveira@gmail.com,36,952212079
Produto C,R$ 1000,Cartão de Crédito,9,28/07/2018,Rafael Almeida,rafaelalmeida@gmail.com,39,981954122
Produto A,R$ 750,Pix,3,13/07/2018,Elaine Costa,elainecosta@hotmail.com,48,939332298
Produto B,R$ 500,Pix,9,20/12/2018,Tamires Souza,tamiressouza@outlook.com,91,995809360
Produto A,R$ 750,Pix,9,08/11/2018,Tamires Souza,tamiressouza@hotmail.com,21,966871219
Produto C,R$ 1200,Pix,12,16/11/2018,Tonny Souza,tonnysouza@gmail.com,23,943350015
Produto C,R$ 1000,Boleto Bancário,7,16/08/2018,Jonatas Almeida,jonatasalmeida@outlook.com,85,918124979
Produto A,R$ 1000,Cartão de Crédito,8,17/03/2018,Tércio Silva,térciosilva@outlook.com,94,954860580
Produto B,R$ 750,Boleto Bancário,8,26/05/2018,Rafael Martins,rafaelmartins@hotmail.com,65,989945985
Produto C,R$ 750,Boleto Bancário,11,11/04/2018,Tércio Costa,térciocosta@outlook.com,39,973388391
Produto A,R$ 750,Boleto Bancário,11,09/06/2018,Tércio Martins,térciomartins@yahoo.com,41,995307001
Produto C,R$ 1200,Pix,8,02/10/2018,Elaine Almeida,elainealmeida@gmail.com,82,982537108
Produto A,R$ 750,Boleto Bancário,9,14/12/2018,Jonatas Souza,jonatassouza@yahoo.com,25,974496384
Produto A,R$ 1200,Pix,6,17/03/2018,Danubia Silva,danubiasilva@hotmail.com,96,984246441
Produto C,R$ 500,Pix,10,10/02/2018,Pedro Silva,pedrosilva@outlook.com,91,986496189
